model,precision,recall,threshold,average_precision
EWS,0.01475583864118896,1.0,0.0,0.07250409349475813
EWS,0.020848957552122394,1.0,0.037037037037037035,0.07250409349475813
EWS,0.02700587084148728,0.9928057553956835,0.07407407407407407,0.07250409349475813
EWS,0.03240252897787144,0.8848920863309353,0.1111111111111111,0.07250409349475813
EWS,0.0407871198568873,0.8201438848920863,0.14814814814814814,0.07250409349475813
EWS,0.050548402479732954,0.762589928057554,0.18518518518518517,0.07250409349475813
EWS,0.055273189326556546,0.6258992805755396,0.2222222222222222,0.07250409349475813
EWS,0.0638481449525453,0.5323741007194245,0.25925925925925924,0.07250409349475813
EWS,0.07301980198019802,0.4244604316546763,0.2962962962962963,0.07250409349475813
EWS,0.0807899461400359,0.3237410071942446,0.3333333333333333,0.07250409349475813
EWS,0.09162303664921466,0.2517985611510791,0.37037037037037035,0.07250409349475813
EWS,0.09541984732824428,0.17985611510791366,0.4074074074074074,0.07250409349475813
EWS,0.11176470588235295,0.1366906474820144,0.4444444444444444,0.07250409349475813
EWS,0.1,0.07913669064748201,0.48148148148148145,0.07250409349475813
EWS,0.1111111111111111,0.050359712230215826,0.5185185185185185,0.07250409349475813
EWS,0.125,0.03597122302158273,0.5555555555555556,0.07250409349475813
EWS,0.13043478260869565,0.02158273381294964,0.5925925925925926,0.07250409349475813
EWS,0.18181818181818182,0.014388489208633094,0.6296296296296297,0.07250409349475813
EWS,0.16666666666666666,0.007194244604316547,0.6666666666666666,0.07250409349475813
EWS,0.3333333333333333,0.007194244604316547,0.7037037037037037,0.07250409349475813
EWS,0.5,0.007194244604316547,0.7407407407407407,0.07250409349475813
EWS,1.0,0.007194244604316547,0.8148148148148148,0.07250409349475813
EWS,1.0,0.0,,0.07250409349475813
