feature,feature_clean,importance,model
sledai_总分,sledai_总分,0.4507821837475877,GradientBoosting
胱抑素_Cys_C__静脉血_定量,胱抑素_Cys_C_,0.047434596344210773,GradientBoosting
抗核抗体_ANA__静脉血_定性,抗核抗体_ANA__静脉血_定性,0.04645167975590448,GradientBoosting
C_反应蛋白_CRP__静脉血_定量,C_反应蛋白_CRP_,0.041000223736422516,GradientBoosting
激素,激素,0.03149598424437461,GradientBoosting
氯离子_Cl___静脉血_定量,氯离子_Cl__,0.02634564806171312,GradientBoosting
sledai_低补体,sledai_低补体,0.026044795418503453,GradientBoosting
acr_低补体,acr_低补体,0.02122332890531688,GradientBoosting
γ_谷氨酰基转移酶_GGT__静脉血_定量,γ_谷氨酰基转移酶_GGT_,0.018206176318246593,GradientBoosting
总胆红素_TBIL__静脉血_定量,总胆红素_TBIL_,0.017591511023419115,GradientBoosting
总蛋白_TP__尿液_定性,总蛋白_TP__尿液_定性,0.01738351360637328,GradientBoosting
acr_肾脏蛋白尿,acr_肾脏蛋白尿,0.0171638616265797,GradientBoosting
葡萄糖_Glu__尿液_定性,葡萄糖_Glu__尿液_定性,0.015897582891248332,GradientBoosting
生理管型_镜检__尿液_定量,生理管型_镜检_,0.015775544052155723,GradientBoosting
钠离子_Na+__静脉血_定量,钠离子_Na+_,0.0145936700349752,GradientBoosting
HCQ,HCQ,0.013967260710176775,GradientBoosting
sledai_蛋白尿,sledai_蛋白尿,0.013700162465059389,GradientBoosting
粒细胞计数_静脉血_定量,粒细胞计数,0.013352351238282269,GradientBoosting
肌酐_Crea__静脉血_定量,肌酐_Crea_,0.012243297666963467,GradientBoosting
补体C4_静脉血_定量,补体C4,0.012011378980447086,GradientBoosting
尿胆原_URO__尿液_定性,尿胆原_URO__尿液_定性,0.009480372275310888,GradientBoosting
acr_抗dsDNA阳性,acr_抗dsDNA阳性,0.00945135604659354,GradientBoosting
天门冬氨酸氨基转移酶_AST__静脉血_定量,天门冬氨酸氨基转移酶_AST_,0.009409116900723966,GradientBoosting
acr_ANA阳性,acr_ANA阳性,0.00918661619365563,GradientBoosting
补体C3_静脉血_定量,补体C3,0.008661192480620472,GradientBoosting
sledai_抗dsDNA,sledai_抗dsDNA,0.007478839237210149,GradientBoosting
血小板计数_PLT#__静脉血_定量,血小板计数_PLT#_,0.007288978018334539,GradientBoosting
淋巴细胞计数_Lymph#__静脉血_定量,淋巴细胞计数_Lymph#_,0.0070447341299349564,GradientBoosting
白蛋白_ALB__静脉血_定量,白蛋白_ALB_,0.007023362192265954,GradientBoosting
钾离子_K+__静脉血_定量,钾离子_K+_,0.00667553856535682,GradientBoosting
sledai_血小板减少,sledai_血小板减少,0.0061537719731864894,GradientBoosting
总蛋白_TP__静脉血_定量,总蛋白_TP_,0.00614035045184311,GradientBoosting
嗜酸性粒细胞计数_Eos#__静脉血_定量,嗜酸性粒细胞计数_Eos#_,0.005767844788743063,GradientBoosting
嗜碱性粒细胞计数_Baso#__静脉血_定量,嗜碱性粒细胞计数_Baso#_,0.005508386613909018,GradientBoosting
单核细胞计数_Mono#__静脉血_定量,单核细胞计数_Mono#_,0.004206703455056728,GradientBoosting
红细胞计数_RBC#__静脉血_定量,红细胞计数_RBC#_,0.0040928740298603805,GradientBoosting
白细胞计数_WBC#__静脉血_定量,白细胞计数_WBC#_,0.0036356635870368197,GradientBoosting
acr_淋巴细胞减少,acr_淋巴细胞减少,0.003172467793308049,GradientBoosting
acr_血小板减少,acr_血小板减少,0.003062148917258505,GradientBoosting
吸烟史,吸烟史,0.001776108422744766,GradientBoosting
血红蛋白_Hb__静脉血_定量,血红蛋白_Hb_,0.0011328213652710183,GradientBoosting
饮酒史,饮酒史,0.0005510127459134825,GradientBoosting
sledai_白细胞减少,sledai_白细胞减少,0.0004209298923281114,GradientBoosting
acr_白细胞减少,acr_白细胞减少,1.405909557298935e-05,GradientBoosting
死亡,死亡,0.0,GradientBoosting
胆红素_BIL__尿液_定性,胆红素_BIL__尿液_定性,0.0,GradientBoosting
