model,bin,n,mean_pred,observed_rate
first_visit_LASSO_logistic,0,283,4.767270866109334e-05,0.0
first_visit_LASSO_logistic,1,283,0.0002968089194068641,0.0
first_visit_LASSO_logistic,2,282,0.0008860420020293046,0.0
first_visit_LASSO_logistic,3,283,0.0020710045067421404,0.0
first_visit_LASSO_logistic,4,282,0.004215993276814694,0.0
first_visit_LASSO_logistic,5,283,0.007391145519032471,0.0
first_visit_LASSO_logistic,6,282,0.013292274539305694,0.0035460992907801418
first_visit_LASSO_logistic,7,283,0.02663083467420648,0.0
first_visit_LASSO_logistic,8,282,0.07384534280992765,0.0070921985815602835
first_visit_LASSO_logistic,9,283,0.6108298092589145,0.13780918727915195
