feature,feature_clean,delta_auc,permuted_auc
sledai_总分,sledai_总分,0.3095986666851335,0.5819956325627993
补体C3_静脉血_定量,补体C3,0.012659104444536773,0.878935194803396
估算肾小球滤过率_CKD_EPI公式__静脉血_定量,估算肾小球滤过率_CKD_EPI公式_,0.0075022044939357935,0.884092094753997
胱抑素_Cys_C__静脉血_定量,胱抑素_Cys_C_,0.005313869152320128,0.8862804300956126
活化部分凝血活酶时间_APTT__静脉血_定量,活化部分凝血活酶时间_APTT_,0.004889128959432609,0.8867051702885002
尿酸_UA__静脉血_定量,尿酸_UA_,0.0028462209664685822,0.8887480782814642
甘油三酯_TG__静脉血_定量,甘油三酯_TG_,0.001749744925047203,0.8898445543228856
C_反应蛋白_CRP__静脉血_定量,C_反应蛋白_CRP_,0.0011172513769429626,0.8904770478709898
白细胞计数_WBC#__静脉血_定量,白细胞计数_WBC#_,0.0007294451138719626,0.8908648541340608
粒细胞计数_静脉血_定量,粒细胞计数,9.233482453963049e-06,0.8915850657654788
肌酐_Crea__静脉血_定量,肌酐_Crea_,-0.0012603703549812773,0.892854669602914
补体C4_静脉血_定量,补体C4,-0.002437639367875888,0.8940319386158087
