_year,n_visits,any_apl_tested
2008.0,897.0,0.0
2009.0,2875.0,0.0
2010.0,2940.0,0.0
2011.0,3198.0,0.0
2012.0,3201.0,0.0
2013.0,3589.0,0.0
2014.0,3900.0,0.0
2015.0,3942.0,0.025367833587011668
2016.0,4276.0,1.4499532273152478
2017.0,4527.0,2.1206096752816435
2018.0,4478.0,1.8088432335864226
2019.0,4741.0,5.526260282640793
2020.0,3610.0,8.89196675900277
2021.0,4031.0,9.50136442570082
2022.0,2638.0,13.115996967399546
2023.0,3792.0,14.108649789029537
2024.0,4063.0,15.604233325129217
2025.0,429.0,15.61771561771562
