feature,mean_abs_shap,rank
类风湿因子_RF__静脉血_定量,0.07817927775362703,1
估算肾小球滤过率_CKD_EPI公式__静脉血_定量,0.05923240530411934,2
BMI,0.04669961440068967,3
身高,0.04034923026575802,4
凝血酶时间_TT__静脉血_定量,0.03800649181901552,5
活化部分凝血活酶时间_APTT__静脉血_定量,0.03614400352354045,6
抗链球菌溶血素O_ASO__静脉血_定量,0.01626041574313562,7
凝血酶原国际标准化比值_PT_INR__静脉血_定量,0.013376929704250085,8
血小板计数_PLT#__静脉血_定量,0.012892710416823766,9
铁蛋白_Ferr__静脉血_定量,0.012511635888328262,10
凝血酶原时间_PT__静脉血_定量,0.011980858716218427,11
降钙素原_PCT__静脉血_定量,0.009823898985932852,12
体重,0.009603720483451074,13
维生素B12_VitB12__静脉血_定量,0.009554873855118365,14
游离甲状腺素_FT4__静脉血_定量,0.00910816721830589,15
总钙_Ca__静脉血_定量,0.008880009600751056,16
补体C3_静脉血_定量,0.00851700883390751,17
总胆红素_TBIL__静脉血_定量,0.008290979881401705,18
凝血酶原时间活动度_PTA__静脉血_定量,0.006596548081213778,19
α2球蛋白百分比_α2_GLO%__静脉血_定量,0.006238838431326903,20
肌酐_Crea__静脉血_定量,0.005689077481607818,21
天门冬氨酸氨基转移酶_AST__静脉血_定量,0.005599041814805206,22
γ球蛋白百分比_γ_GLO%__静脉血_定量,0.005216713111615232,23
生理管型_镜检__尿液_定量,0.005169958666112779,24
β球蛋白百分比_β_GLO%__静脉血_定量,0.004843387702512372,25
嗜酸性粒细胞计数_Eos#__静脉血_定量,0.004176000197156967,26
嗜碱性粒细胞计数_Baso#__静脉血_定量,0.003815665978679697,27
α1球蛋白百分比_α1_GLO%__静脉血_定量,0.0035017154181444373,28
HCQ,0.002375090834898926,29
激素,0.0015267136168708756,30
吸烟史,0.00021190567253639859,31
饮酒史,8.921087995491729e-05,32
