Variable,Overall,APS+,APS-,p_value,SMD,N_APS+,N_APS-
APTT,35.10 (31.50-39.90),36.50 (31.50-44.58),35.00 (31.50-39.40),8.18e-08,0.354,631,4497
BMI,23.18 ± 8.54,23.72 ± 6.46,23.03 ± 9.02,1.70e-05,0.081,569,2098
C3,0.82 ± 0.25,0.88 ± 0.25,0.81 ± 0.25,3.14e-09,0.264,651,8202
C4,0.16 ± 0.07,0.16 ± 0.09,0.16 ± 0.07,5.10e-01,0.067,651,8172
CRP,3.30 (2.10-6.88),3.57 (2.50-6.18),3.30 (2.05-7.00),7.31e-04,-0.035,651,6798
Crea,56.00 (49.00-65.00),58.00 (51.00-67.00),55.50 (49.00-65.00),1.16e-06,0.047,656,7983
Hb,125.00 (113.00-134.00),123.00 (110.88-133.00),125.00 (113.00-134.00),6.94e-03,-0.119,656,8526
INR,1.00 (0.97-1.06),1.00 (0.95-1.10),1.00 (0.97-1.05),4.70e-01,0.261,631,4497
PLT,205.06 ± 72.67,196.20 ± 76.99,205.74 ± 72.29,1.56e-03,-0.131,656,8526
PT,1.00 (0.97-1.06),1.00 (0.95-1.10),1.00 (0.97-1.05),4.70e-01,0.261,631,4497
PTA,98.79 ± 15.38,96.53 ± 20.11,99.07 ± 14.68,6.21e-01,-0.165,500,4136
RBC,4.26 (3.92-4.56),4.22 (3.82-4.57),4.26 (3.92-4.56),1.69e-01,-0.085,656,8523
TT,17.00 (16.30-17.90),17.10 (16.40-17.80),17.00 (16.30-17.90),2.23e-01,-0.044,623,2775
UA,300.50 (239.75-383.00),303.00 (244.88-379.00),300.00 (239.00-383.00),4.64e-01,0.021,536,3471
WBC,6.08 (4.84-7.83),6.25 (5.09-7.99),6.06 (4.82-7.82),1.14e-02,0.055,656,8527
体重,60.71 ± 11.66,62.99 ± 12.96,60.34 ± 11.39,4.35e-06,0.228,583,3545
身高,162.00 (159.00-167.00),163.00 (158.00-168.00),162.00 (159.00-166.00),2.48e-01,0.072,573,2132
